"Statistic Label","Year","Household Composition","UNIT","VALUE"
"Median Real Household Disposable Income","2020","1 adult aged 65 years and over","Euro","17312"
"Median Real Household Disposable Income","2020","1 adult aged less than 65 years","Euro","23628"
"Median Real Household Disposable Income","2020","2 adults, at least 1 aged 65 years and over","Euro","37911"
"Median Real Household Disposable Income","2020","2 adults, both aged less than 65 years","Euro","53582"
"Median Real Household Disposable Income","2020","3 or more adults","Euro","75285"
"Median Real Household Disposable Income","2020","1 adult, with children under 18 years","Euro","29506"
"Median Real Household Disposable Income","2020","2 adults, with 1-3 children under 18 years","Euro","58008"
"Median Real Household Disposable Income","2020","Other households with children under 18 years","Euro","66754"
"Median Real Household Disposable Income","2021","1 adult aged 65 years and over","Euro","18131"
"Median Real Household Disposable Income","2021","1 adult aged less than 65 years","Euro","23233"
"Median Real Household Disposable Income","2021","2 adults, at least 1 aged 65 years and over","Euro","39182"
"Median Real Household Disposable Income","2021","2 adults, both aged less than 65 years","Euro","52878"
"Median Real Household Disposable Income","2021","3 or more adults","Euro","77732"
"Median Real Household Disposable Income","2021","1 adult, with children under 18 years","Euro","33516"
"Median Real Household Disposable Income","2021","2 adults, with 1-3 children under 18 years","Euro","62723"
"Median Real Household Disposable Income","2021","Other households with children under 18 years","Euro","72663"
"Median Real Household Disposable Income","2022","1 adult aged 65 years and over","Euro",""
"Median Real Household Disposable Income","2022","1 adult aged less than 65 years","Euro",""
"Median Real Household Disposable Income","2022","2 adults, at least 1 aged 65 years and over","Euro",""
"Median Real Household Disposable Income","2022","2 adults, both aged less than 65 years","Euro",""
"Median Real Household Disposable Income","2022","3 or more adults","Euro",""
"Median Real Household Disposable Income","2022","1 adult, with children under 18 years","Euro",""
"Median Real Household Disposable Income","2022","2 adults, with 1-3 children under 18 years","Euro",""
"Median Real Household Disposable Income","2022","Other households with children under 18 years","Euro",""
"Mean Real Household Disposable Income","2020","1 adult aged 65 years and over","Euro","22534"
"Mean Real Household Disposable Income","2020","1 adult aged less than 65 years","Euro","27828"
"Mean Real Household Disposable Income","2020","2 adults, at least 1 aged 65 years and over","Euro","46699"
"Mean Real Household Disposable Income","2020","2 adults, both aged less than 65 years","Euro","57674"
"Mean Real Household Disposable Income","2020","3 or more adults","Euro","81678"
"Mean Real Household Disposable Income","2020","1 adult, with children under 18 years","Euro","32364"
"Mean Real Household Disposable Income","2020","2 adults, with 1-3 children under 18 years","Euro","68271"
"Mean Real Household Disposable Income","2020","Other households with children under 18 years","Euro","75229"
"Mean Real Household Disposable Income","2021","1 adult aged 65 years and over","Euro","23761"
"Mean Real Household Disposable Income","2021","1 adult aged less than 65 years","Euro","28099"
"Mean Real Household Disposable Income","2021","2 adults, at least 1 aged 65 years and over","Euro","45765"
"Mean Real Household Disposable Income","2021","2 adults, both aged less than 65 years","Euro","57932"
"Mean Real Household Disposable Income","2021","3 or more adults","Euro","89220"
"Mean Real Household Disposable Income","2021","1 adult, with children under 18 years","Euro","34549"
"Mean Real Household Disposable Income","2021","2 adults, with 1-3 children under 18 years","Euro","69536"
"Mean Real Household Disposable Income","2021","Other households with children under 18 years","Euro","82278"
"Mean Real Household Disposable Income","2022","1 adult aged 65 years and over","Euro",""
"Mean Real Household Disposable Income","2022","1 adult aged less than 65 years","Euro",""
"Mean Real Household Disposable Income","2022","2 adults, at least 1 aged 65 years and over","Euro",""
"Mean Real Household Disposable Income","2022","2 adults, both aged less than 65 years","Euro",""
"Mean Real Household Disposable Income","2022","3 or more adults","Euro",""
"Mean Real Household Disposable Income","2022","1 adult, with children under 18 years","Euro",""
"Mean Real Household Disposable Income","2022","2 adults, with 1-3 children under 18 years","Euro",""
"Mean Real Household Disposable Income","2022","Other households with children under 18 years","Euro",""
"Median Nominal Household Disposable Income","2020","1 adult aged 65 years and over","Euro","17312"
"Median Nominal Household Disposable Income","2020","1 adult aged less than 65 years","Euro","23628"
"Median Nominal Household Disposable Income","2020","2 adults, at least 1 aged 65 years and over","Euro","37911"
"Median Nominal Household Disposable Income","2020","2 adults, both aged less than 65 years","Euro","53582"
"Median Nominal Household Disposable Income","2020","3 or more adults","Euro","75285"
"Median Nominal Household Disposable Income","2020","1 adult, with children under 18 years","Euro","29506"
"Median Nominal Household Disposable Income","2020","2 adults, with 1-3 children under 18 years","Euro","58008"
"Median Nominal Household Disposable Income","2020","Other households with children under 18 years","Euro","66754"
"Median Nominal Household Disposable Income","2021","1 adult aged 65 years and over","Euro","18070"
"Median Nominal Household Disposable Income","2021","1 adult aged less than 65 years","Euro","23155"
"Median Nominal Household Disposable Income","2021","2 adults, at least 1 aged 65 years and over","Euro","39051"
"Median Nominal Household Disposable Income","2021","2 adults, both aged less than 65 years","Euro","52701"
"Median Nominal Household Disposable Income","2021","3 or more adults","Euro","77472"
"Median Nominal Household Disposable Income","2021","1 adult, with children under 18 years","Euro","33404"
"Median Nominal Household Disposable Income","2021","2 adults, with 1-3 children under 18 years","Euro","62513"
"Median Nominal Household Disposable Income","2021","Other households with children under 18 years","Euro","72420"
"Median Nominal Household Disposable Income","2022","1 adult aged 65 years and over","Euro",""
"Median Nominal Household Disposable Income","2022","1 adult aged less than 65 years","Euro",""
"Median Nominal Household Disposable Income","2022","2 adults, at least 1 aged 65 years and over","Euro",""
"Median Nominal Household Disposable Income","2022","2 adults, both aged less than 65 years","Euro",""
"Median Nominal Household Disposable Income","2022","3 or more adults","Euro",""
"Median Nominal Household Disposable Income","2022","1 adult, with children under 18 years","Euro",""
"Median Nominal Household Disposable Income","2022","2 adults, with 1-3 children under 18 years","Euro",""
"Median Nominal Household Disposable Income","2022","Other households with children under 18 years","Euro",""
"Mean Nominal Household Disposable Income","2020","1 adult aged 65 years and over","Euro","22534"
"Mean Nominal Household Disposable Income","2020","1 adult aged less than 65 years","Euro","27828"
"Mean Nominal Household Disposable Income","2020","2 adults, at least 1 aged 65 years and over","Euro","46699"
"Mean Nominal Household Disposable Income","2020","2 adults, both aged less than 65 years","Euro","57674"
"Mean Nominal Household Disposable Income","2020","3 or more adults","Euro","81678"
"Mean Nominal Household Disposable Income","2020","1 adult, with children under 18 years","Euro","32364"
"Mean Nominal Household Disposable Income","2020","2 adults, with 1-3 children under 18 years","Euro","68271"
"Mean Nominal Household Disposable Income","2020","Other households with children under 18 years","Euro","75229"
"Mean Nominal Household Disposable Income","2021","1 adult aged 65 years and over","Euro","23681"
"Mean Nominal Household Disposable Income","2021","1 adult aged less than 65 years","Euro","28005"
"Mean Nominal Household Disposable Income","2021","2 adults, at least 1 aged 65 years and over","Euro","45612"
"Mean Nominal Household Disposable Income","2021","2 adults, both aged less than 65 years","Euro","57738"
"Mean Nominal Household Disposable Income","2021","3 or more adults","Euro","88921"
"Mean Nominal Household Disposable Income","2021","1 adult, with children under 18 years","Euro","34433"
"Mean Nominal Household Disposable Income","2021","2 adults, with 1-3 children under 18 years","Euro","69303"
"Mean Nominal Household Disposable Income","2021","Other households with children under 18 years","Euro","82002"
"Mean Nominal Household Disposable Income","2022","1 adult aged 65 years and over","Euro",""
"Mean Nominal Household Disposable Income","2022","1 adult aged less than 65 years","Euro",""
"Mean Nominal Household Disposable Income","2022","2 adults, at least 1 aged 65 years and over","Euro",""
"Mean Nominal Household Disposable Income","2022","2 adults, both aged less than 65 years","Euro",""
"Mean Nominal Household Disposable Income","2022","3 or more adults","Euro",""
"Mean Nominal Household Disposable Income","2022","1 adult, with children under 18 years","Euro",""
"Mean Nominal Household Disposable Income","2022","2 adults, with 1-3 children under 18 years","Euro",""
"Mean Nominal Household Disposable Income","2022","Other households with children under 18 years","Euro",""
"Median Equivalised Real Disposable Income","2020","1 adult aged 65 years and over","Euro","17312"
"Median Equivalised Real Disposable Income","2020","1 adult aged less than 65 years","Euro","23628"
"Median Equivalised Real Disposable Income","2020","2 adults, at least 1 aged 65 years and over","Euro","22885"
"Median Equivalised Real Disposable Income","2020","2 adults, both aged less than 65 years","Euro","32457"
"Median Equivalised Real Disposable Income","2020","3 or more adults","Euro","27610"
"Median Equivalised Real Disposable Income","2020","1 adult, with children under 18 years","Euro","17855"
"Median Equivalised Real Disposable Income","2020","2 adults, with 1-3 children under 18 years","Euro","24966"
"Median Equivalised Real Disposable Income","2020","Other households with children under 18 years","Euro","20593"
"Median Equivalised Real Disposable Income","2021","1 adult aged 65 years and over","Euro","18131"
"Median Equivalised Real Disposable Income","2021","1 adult aged less than 65 years","Euro","23233"
"Median Equivalised Real Disposable Income","2021","2 adults, at least 1 aged 65 years and over","Euro","23604"
"Median Equivalised Real Disposable Income","2021","2 adults, both aged less than 65 years","Euro","31890"
"Median Equivalised Real Disposable Income","2021","3 or more adults","Euro","29629"
"Median Equivalised Real Disposable Income","2021","1 adult, with children under 18 years","Euro","19276"
"Median Equivalised Real Disposable Income","2021","2 adults, with 1-3 children under 18 years","Euro","26407"
"Median Equivalised Real Disposable Income","2021","Other households with children under 18 years","Euro","22288"
"Median Equivalised Real Disposable Income","2022","1 adult aged 65 years and over","Euro",""
"Median Equivalised Real Disposable Income","2022","1 adult aged less than 65 years","Euro",""
"Median Equivalised Real Disposable Income","2022","2 adults, at least 1 aged 65 years and over","Euro",""
"Median Equivalised Real Disposable Income","2022","2 adults, both aged less than 65 years","Euro",""
"Median Equivalised Real Disposable Income","2022","3 or more adults","Euro",""
"Median Equivalised Real Disposable Income","2022","1 adult, with children under 18 years","Euro",""
"Median Equivalised Real Disposable Income","2022","2 adults, with 1-3 children under 18 years","Euro",""
"Median Equivalised Real Disposable Income","2022","Other households with children under 18 years","Euro",""
"Mean Equivalised Real Disposable Income","2020","1 adult aged 65 years and over","Euro","22534"
"Mean Equivalised Real Disposable Income","2020","1 adult aged less than 65 years","Euro","27828"
"Mean Equivalised Real Disposable Income","2020","2 adults, at least 1 aged 65 years and over","Euro","28147"
"Mean Equivalised Real Disposable Income","2020","2 adults, both aged less than 65 years","Euro","35078"
"Mean Equivalised Real Disposable Income","2020","3 or more adults","Euro","30144"
"Mean Equivalised Real Disposable Income","2020","1 adult, with children under 18 years","Euro","19310"
"Mean Equivalised Real Disposable Income","2020","2 adults, with 1-3 children under 18 years","Euro","28927"
"Mean Equivalised Real Disposable Income","2020","Other households with children under 18 years","Euro","22376"
"Mean Equivalised Real Disposable Income","2021","1 adult aged 65 years and over","Euro","23761"
"Mean Equivalised Real Disposable Income","2021","1 adult aged less than 65 years","Euro","28099"
"Mean Equivalised Real Disposable Income","2021","2 adults, at least 1 aged 65 years and over","Euro","27569"
"Mean Equivalised Real Disposable Income","2021","2 adults, both aged less than 65 years","Euro","35121"
"Mean Equivalised Real Disposable Income","2021","3 or more adults","Euro","33090"
"Mean Equivalised Real Disposable Income","2021","1 adult, with children under 18 years","Euro","20456"
"Mean Equivalised Real Disposable Income","2021","2 adults, with 1-3 children under 18 years","Euro","29386"
"Mean Equivalised Real Disposable Income","2021","Other households with children under 18 years","Euro","24520"
"Mean Equivalised Real Disposable Income","2022","1 adult aged 65 years and over","Euro",""
"Mean Equivalised Real Disposable Income","2022","1 adult aged less than 65 years","Euro",""
"Mean Equivalised Real Disposable Income","2022","2 adults, at least 1 aged 65 years and over","Euro",""
"Mean Equivalised Real Disposable Income","2022","2 adults, both aged less than 65 years","Euro",""
"Mean Equivalised Real Disposable Income","2022","3 or more adults","Euro",""
"Mean Equivalised Real Disposable Income","2022","1 adult, with children under 18 years","Euro",""
"Mean Equivalised Real Disposable Income","2022","2 adults, with 1-3 children under 18 years","Euro",""
"Mean Equivalised Real Disposable Income","2022","Other households with children under 18 years","Euro",""
"Median Equivalised Nominal Disposable Income","2020","1 adult aged 65 years and over","Euro","17312"
"Median Equivalised Nominal Disposable Income","2020","1 adult aged less than 65 years","Euro","23628"
"Median Equivalised Nominal Disposable Income","2020","2 adults, at least 1 aged 65 years and over","Euro","22885"
"Median Equivalised Nominal Disposable Income","2020","2 adults, both aged less than 65 years","Euro","32457"
"Median Equivalised Nominal Disposable Income","2020","3 or more adults","Euro","27610"
"Median Equivalised Nominal Disposable Income","2020","1 adult, with children under 18 years","Euro","17855"
"Median Equivalised Nominal Disposable Income","2020","2 adults, with 1-3 children under 18 years","Euro","24966"
"Median Equivalised Nominal Disposable Income","2020","Other households with children under 18 years","Euro","20593"
"Median Equivalised Nominal Disposable Income","2021","1 adult aged 65 years and over","Euro","18070"
"Median Equivalised Nominal Disposable Income","2021","1 adult aged less than 65 years","Euro","23155"
"Median Equivalised Nominal Disposable Income","2021","2 adults, at least 1 aged 65 years and over","Euro","23525"
"Median Equivalised Nominal Disposable Income","2021","2 adults, both aged less than 65 years","Euro","31783"
"Median Equivalised Nominal Disposable Income","2021","3 or more adults","Euro","29530"
"Median Equivalised Nominal Disposable Income","2021","1 adult, with children under 18 years","Euro","19211"
"Median Equivalised Nominal Disposable Income","2021","2 adults, with 1-3 children under 18 years","Euro","26319"
"Median Equivalised Nominal Disposable Income","2021","Other households with children under 18 years","Euro","22213"
"Median Equivalised Nominal Disposable Income","2022","1 adult aged 65 years and over","Euro",""
"Median Equivalised Nominal Disposable Income","2022","1 adult aged less than 65 years","Euro",""
"Median Equivalised Nominal Disposable Income","2022","2 adults, at least 1 aged 65 years and over","Euro",""
"Median Equivalised Nominal Disposable Income","2022","2 adults, both aged less than 65 years","Euro",""
"Median Equivalised Nominal Disposable Income","2022","3 or more adults","Euro",""
"Median Equivalised Nominal Disposable Income","2022","1 adult, with children under 18 years","Euro",""
"Median Equivalised Nominal Disposable Income","2022","2 adults, with 1-3 children under 18 years","Euro",""
"Median Equivalised Nominal Disposable Income","2022","Other households with children under 18 years","Euro",""
"Mean Equivalised Nominal Disposable Income","2020","1 adult aged 65 years and over","Euro","22534"
"Mean Equivalised Nominal Disposable Income","2020","1 adult aged less than 65 years","Euro","27828"
"Mean Equivalised Nominal Disposable Income","2020","2 adults, at least 1 aged 65 years and over","Euro","28147"
"Mean Equivalised Nominal Disposable Income","2020","2 adults, both aged less than 65 years","Euro","35078"
"Mean Equivalised Nominal Disposable Income","2020","3 or more adults","Euro","30144"
"Mean Equivalised Nominal Disposable Income","2020","1 adult, with children under 18 years","Euro","19310"
"Mean Equivalised Nominal Disposable Income","2020","2 adults, with 1-3 children under 18 years","Euro","28927"
"Mean Equivalised Nominal Disposable Income","2020","Other households with children under 18 years","Euro","22376"
"Mean Equivalised Nominal Disposable Income","2021","1 adult aged 65 years and over","Euro","23681"
"Mean Equivalised Nominal Disposable Income","2021","1 adult aged less than 65 years","Euro","28005"
"Mean Equivalised Nominal Disposable Income","2021","2 adults, at least 1 aged 65 years and over","Euro","27477"
"Mean Equivalised Nominal Disposable Income","2021","2 adults, both aged less than 65 years","Euro","35003"
"Mean Equivalised Nominal Disposable Income","2021","3 or more adults","Euro","32979"
"Mean Equivalised Nominal Disposable Income","2021","1 adult, with children under 18 years","Euro","20387"
"Mean Equivalised Nominal Disposable Income","2021","2 adults, with 1-3 children under 18 years","Euro","29288"
"Mean Equivalised Nominal Disposable Income","2021","Other households with children under 18 years","Euro","24438"
"Mean Equivalised Nominal Disposable Income","2022","1 adult aged 65 years and over","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","1 adult aged less than 65 years","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","2 adults, at least 1 aged 65 years and over","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","2 adults, both aged less than 65 years","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","3 or more adults","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","1 adult, with children under 18 years","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","2 adults, with 1-3 children under 18 years","Euro",""
