"Statistic Label","Year","Tenure Status","UNIT","VALUE"
"Median Real Household Disposable Income","2020","Owner-occupied","Euro","49818"
"Median Real Household Disposable Income","2020","Rented or rent free","Euro","36366"
"Median Real Household Disposable Income","2021","Owner-occupied","Euro","53104"
"Median Real Household Disposable Income","2021","Rented or rent free","Euro","37829"
"Median Real Household Disposable Income","2022","Owner-occupied","Euro",""
"Median Real Household Disposable Income","2022","Rented or rent free","Euro",""
"Mean Real Household Disposable Income","2020","Owner-occupied","Euro","57929"
"Mean Real Household Disposable Income","2020","Rented or rent free","Euro","41925"
"Mean Real Household Disposable Income","2021","Owner-occupied","Euro","60967"
"Mean Real Household Disposable Income","2021","Rented or rent free","Euro","41594"
"Mean Real Household Disposable Income","2022","Owner-occupied","Euro",""
"Mean Real Household Disposable Income","2022","Rented or rent free","Euro",""
"Median Nominal Household Disposable Income","2020","Owner-occupied","Euro","49818"
"Median Nominal Household Disposable Income","2020","Rented or rent free","Euro","36366"
"Median Nominal Household Disposable Income","2021","Owner-occupied","Euro","52926"
"Median Nominal Household Disposable Income","2021","Rented or rent free","Euro","37702"
"Median Nominal Household Disposable Income","2022","Owner-occupied","Euro",""
"Median Nominal Household Disposable Income","2022","Rented or rent free","Euro",""
"Mean Nominal Household Disposable Income","2020","Owner-occupied","Euro","57929"
"Mean Nominal Household Disposable Income","2020","Rented or rent free","Euro","41925"
"Mean Nominal Household Disposable Income","2021","Owner-occupied","Euro","60763"
"Mean Nominal Household Disposable Income","2021","Rented or rent free","Euro","41455"
"Mean Nominal Household Disposable Income","2022","Owner-occupied","Euro",""
"Mean Nominal Household Disposable Income","2022","Rented or rent free","Euro",""
"Median Equivalised Real Disposable Income","2020","Owner-occupied","Euro","26093"
"Median Equivalised Real Disposable Income","2020","Rented or rent free","Euro","19248"
"Median Equivalised Real Disposable Income","2021","Owner-occupied","Euro","28114"
"Median Equivalised Real Disposable Income","2021","Rented or rent free","Euro","20331"
"Median Equivalised Real Disposable Income","2022","Owner-occupied","Euro",""
"Median Equivalised Real Disposable Income","2022","Rented or rent free","Euro",""
"Mean Equivalised Real Disposable Income","2020","Owner-occupied","Euro","30017"
"Mean Equivalised Real Disposable Income","2020","Rented or rent free","Euro","22667"
"Mean Equivalised Real Disposable Income","2021","Owner-occupied","Euro","31331"
"Mean Equivalised Real Disposable Income","2021","Rented or rent free","Euro","23044"
"Mean Equivalised Real Disposable Income","2022","Owner-occupied","Euro",""
"Mean Equivalised Real Disposable Income","2022","Rented or rent free","Euro",""
"Median Equivalised Nominal Disposable Income","2020","Owner-occupied","Euro","26093"
"Median Equivalised Nominal Disposable Income","2020","Rented or rent free","Euro","19248"
"Median Equivalised Nominal Disposable Income","2021","Owner-occupied","Euro","28020"
"Median Equivalised Nominal Disposable Income","2021","Rented or rent free","Euro","20263"
"Median Equivalised Nominal Disposable Income","2022","Owner-occupied","Euro",""
"Median Equivalised Nominal Disposable Income","2022","Rented or rent free","Euro",""
"Mean Equivalised Nominal Disposable Income","2020","Owner-occupied","Euro","30017"
"Mean Equivalised Nominal Disposable Income","2020","Rented or rent free","Euro","22667"
"Mean Equivalised Nominal Disposable Income","2021","Owner-occupied","Euro","31226"
"Mean Equivalised Nominal Disposable Income","2021","Rented or rent free","Euro","22967"
"Mean Equivalised Nominal Disposable Income","2022","Owner-occupied","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","Rented or rent free","Euro",""
"At Risk of Poverty Rate","2020","Owner-occupied","%","7.7"
"At Risk of Poverty Rate","2020","Rented or rent free","%","25.7"
"At Risk of Poverty Rate","2021","Owner-occupied","%","8.2"
"At Risk of Poverty Rate","2021","Rented or rent free","%","19.8"
"At Risk of Poverty Rate","2022","Owner-occupied","%",""
"At Risk of Poverty Rate","2022","Rented or rent free","%",""
"Deprivation Rate","2020","Owner-occupied","%","7.4"
"Deprivation Rate","2020","Rented or rent free","%","29.9"
"Deprivation Rate","2021","Owner-occupied","%","6.1"
"Deprivation Rate","2021","Rented or rent free","%","32"
"Deprivation Rate","2022","Owner-occupied","%","9.8"
"Deprivation Rate","2022","Rented or rent free","%","34.1"
"Consistent Poverty Rate","2020","Owner-occupied","%","1.6"
"Consistent Poverty Rate","2020","Rented or rent free","%","11.7"
"Consistent Poverty Rate","2021","Owner-occupied","%","1.5"
"Consistent Poverty Rate","2021","Rented or rent free","%","9.8"
"Consistent Poverty Rate","2022","Owner-occupied","%",""
"Consistent Poverty Rate","2022","Rented or rent free","%",""
