"Statistic Label","Year","Urban and Rural","UNIT","VALUE"
"Median Real Household Disposable Income","2020","Urban areas","Euro","45592"
"Median Real Household Disposable Income","2020","Rural areas","Euro","40277"
"Median Real Household Disposable Income","2021","Urban areas","Euro","48261"
"Median Real Household Disposable Income","2021","Rural areas","Euro","42977"
"Median Real Household Disposable Income","2022","Urban areas","Euro",""
"Median Real Household Disposable Income","2022","Rural areas","Euro",""
"Mean Real Household Disposable Income","2020","Urban areas","Euro","55350"
"Mean Real Household Disposable Income","2020","Rural areas","Euro","48105"
"Mean Real Household Disposable Income","2021","Urban areas","Euro","56352"
"Mean Real Household Disposable Income","2021","Rural areas","Euro","52137"
"Mean Real Household Disposable Income","2022","Urban areas","Euro",""
"Mean Real Household Disposable Income","2022","Rural areas","Euro",""
"Median Nominal Household Disposable Income","2020","Urban areas","Euro","45592"
"Median Nominal Household Disposable Income","2020","Rural areas","Euro","40277"
"Median Nominal Household Disposable Income","2021","Urban areas","Euro","48099"
"Median Nominal Household Disposable Income","2021","Rural areas","Euro","42833"
"Median Nominal Household Disposable Income","2022","Urban areas","Euro",""
"Median Nominal Household Disposable Income","2022","Rural areas","Euro",""
"Mean Nominal Household Disposable Income","2020","Urban areas","Euro","55350"
"Mean Nominal Household Disposable Income","2020","Rural areas","Euro","48105"
"Mean Nominal Household Disposable Income","2021","Urban areas","Euro","56163"
"Mean Nominal Household Disposable Income","2021","Rural areas","Euro","51962"
"Mean Nominal Household Disposable Income","2022","Urban areas","Euro",""
"Mean Nominal Household Disposable Income","2022","Rural areas","Euro",""
"Median Equivalised Real Disposable Income","2020","Urban areas","Euro","24730"
"Median Equivalised Real Disposable Income","2020","Rural areas","Euro","22983"
"Median Equivalised Real Disposable Income","2021","Urban areas","Euro","26127"
"Median Equivalised Real Disposable Income","2021","Rural areas","Euro","24166"
"Median Equivalised Real Disposable Income","2022","Urban areas","Euro",""
"Median Equivalised Real Disposable Income","2022","Rural areas","Euro",""
"Mean Equivalised Real Disposable Income","2020","Urban areas","Euro","28908"
"Mean Equivalised Real Disposable Income","2020","Rural areas","Euro","25433"
"Mean Equivalised Real Disposable Income","2021","Urban areas","Euro","29862"
"Mean Equivalised Real Disposable Income","2021","Rural areas","Euro","26908"
"Mean Equivalised Real Disposable Income","2022","Urban areas","Euro",""
"Mean Equivalised Real Disposable Income","2022","Rural areas","Euro",""
"Median Equivalised Nominal Disposable Income","2020","Urban areas","Euro","24730"
"Median Equivalised Nominal Disposable Income","2020","Rural areas","Euro","22983"
"Median Equivalised Nominal Disposable Income","2021","Urban areas","Euro","26040"
"Median Equivalised Nominal Disposable Income","2021","Rural areas","Euro","24085"
"Median Equivalised Nominal Disposable Income","2022","Urban areas","Euro",""
"Median Equivalised Nominal Disposable Income","2022","Rural areas","Euro",""
"Mean Equivalised Nominal Disposable Income","2020","Urban areas","Euro","28908"
"Mean Equivalised Nominal Disposable Income","2020","Rural areas","Euro","25433"
"Mean Equivalised Nominal Disposable Income","2021","Urban areas","Euro","29762"
"Mean Equivalised Nominal Disposable Income","2021","Rural areas","Euro","26818"
"Mean Equivalised Nominal Disposable Income","2022","Urban areas","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","Rural areas","Euro",""
"At Risk of Poverty Rate","2020","Urban areas","%","13.3"
"At Risk of Poverty Rate","2020","Rural areas","%","13"
"At Risk of Poverty Rate","2021","Urban areas","%","10.5"
"At Risk of Poverty Rate","2021","Rural areas","%","13.9"
"At Risk of Poverty Rate","2022","Urban areas","%",""
"At Risk of Poverty Rate","2022","Rural areas","%",""
"Deprivation Rate","2020","Urban areas","%","15.8"
"Deprivation Rate","2020","Rural areas","%","11.2"
"Deprivation Rate","2021","Urban areas","%","15.8"
"Deprivation Rate","2021","Rural areas","%","10.2"
"Deprivation Rate","2022","Urban areas","%","19.1"
"Deprivation Rate","2022","Rural areas","%","13"
"Consistent Poverty Rate","2020","Urban areas","%","5.4"
"Consistent Poverty Rate","2020","Rural areas","%","3.1"
"Consistent Poverty Rate","2021","Urban areas","%","4.7"
"Consistent Poverty Rate","2021","Rural areas","%","2.6"
"Consistent Poverty Rate","2022","Urban areas","%",""
"Consistent Poverty Rate","2022","Rural areas","%",""
