"Statistic Label","Year","Highest Level of Education Completed","UNIT","VALUE"
"Profile of the Population","2020","Primary or below","%","7"
"Profile of the Population","2020","Lower secondary","%","10"
"Profile of the Population","2020","Upper secondary","%","17"
"Profile of the Population","2020","Third level non-degree","%","7.9"
"Profile of the Population","2020","Third level degree or higher","%","26.9"
"Profile of the Population","2020","Post leaving certificate","%","8.1"
"Profile of the Population","2021","Primary or below","%","7.6"
"Profile of the Population","2021","Lower secondary","%","12.1"
"Profile of the Population","2021","Upper secondary","%","17.5"
"Profile of the Population","2021","Third level non-degree","%","5.1"
"Profile of the Population","2021","Third level degree or higher","%","25.8"
"Profile of the Population","2021","Post leaving certificate","%","9.2"
"Profile of the Population","2022","Primary or below","%","7.1"
"Profile of the Population","2022","Lower secondary","%","10.7"
"Profile of the Population","2022","Upper secondary","%","18.3"
"Profile of the Population","2022","Third level non-degree","%","5.7"
"Profile of the Population","2022","Third level degree or higher","%","26.8"
"Profile of the Population","2022","Post leaving certificate","%","9.6"
"At Risk of Poverty","2020","Primary or below","%","9.6"
"At Risk of Poverty","2020","Lower secondary","%","14.1"
"At Risk of Poverty","2020","Upper secondary","%","19.6"
"At Risk of Poverty","2020","Third level non-degree","%","6"
"At Risk of Poverty","2020","Third level degree or higher","%","13"
"At Risk of Poverty","2020","Post leaving certificate","%","9.3"
"At Risk of Poverty","2021","Primary or below","%","16.2"
"At Risk of Poverty","2021","Lower secondary","%","20.1"
"At Risk of Poverty","2021","Upper secondary","%","18.6"
"At Risk of Poverty","2021","Third level non-degree","%","2.6"
"At Risk of Poverty","2021","Third level degree or higher","%","9.6"
"At Risk of Poverty","2021","Post leaving certificate","%","8.2"
"At Risk of Poverty","2022","Primary or below","%",""
"At Risk of Poverty","2022","Lower secondary","%",""
"At Risk of Poverty","2022","Upper secondary","%",""
"At Risk of Poverty","2022","Third level non-degree","%",""
"At Risk of Poverty","2022","Third level degree or higher","%",""
"At Risk of Poverty","2022","Post leaving certificate","%",""
"Deprivation Rate","2020","Primary or below","%","10.8"
"Deprivation Rate","2020","Lower secondary","%","14"
"Deprivation Rate","2020","Upper secondary","%","17.3"
"Deprivation Rate","2020","Third level non-degree","%","5.5"
"Deprivation Rate","2020","Third level degree or higher","%","12.9"
"Deprivation Rate","2020","Post leaving certificate","%","9.4"
"Deprivation Rate","2021","Primary or below","%","11.1"
"Deprivation Rate","2021","Lower secondary","%","18"
"Deprivation Rate","2021","Upper secondary","%","16.3"
"Deprivation Rate","2021","Third level non-degree","%","3.4"
"Deprivation Rate","2021","Third level degree or higher","%","12.7"
"Deprivation Rate","2021","Post leaving certificate","%","10"
"Deprivation Rate","2022","Primary or below","%","10.3"
"Deprivation Rate","2022","Lower secondary","%","14"
"Deprivation Rate","2022","Upper secondary","%","20.7"
"Deprivation Rate","2022","Third level non-degree","%","5"
"Deprivation Rate","2022","Third level degree or higher","%","11.8"
"Deprivation Rate","2022","Post leaving certificate","%","12.9"
"In Consistent Poverty","2020","Primary or below","%","9"
"In Consistent Poverty","2020","Lower secondary","%","14.8"
"In Consistent Poverty","2020","Upper secondary","%","19"
"In Consistent Poverty","2020","Third level non-degree","%","4.4"
"In Consistent Poverty","2020","Third level degree or higher","%","8.8"
"In Consistent Poverty","2020","Post leaving certificate","%","8.9"
"In Consistent Poverty","2021","Primary or below","%","16.5"
"In Consistent Poverty","2021","Lower secondary","%","19.1"
"In Consistent Poverty","2021","Upper secondary","%","17.3"
"In Consistent Poverty","2021","Third level non-degree","%","1"
"In Consistent Poverty","2021","Third level degree or higher","%","8.2"
"In Consistent Poverty","2021","Post leaving certificate","%","9"
"In Consistent Poverty","2022","Primary or below","%",""
"In Consistent Poverty","2022","Lower secondary","%",""
"In Consistent Poverty","2022","Upper secondary","%",""
"In Consistent Poverty","2022","Third level non-degree","%",""
"In Consistent Poverty","2022","Third level degree or higher","%",""
"In Consistent Poverty","2022","Post leaving certificate","%",""
